253,253,253,253,392,369,369,370,390,253,392,390,392,390,369,369,370,392,390,253,253,253,253,392,368,369,369,369,369,369,369,369,370,390,278,253,253,253,253,392,368,369,370,368,369,369,369,370
253,253,253,253,392,253,253,392,390,253,392,390,392,390,253,253,392,392,390,253,253,253,253,392,390,391,391,391,391,391,391,391,392,390,253,253,253,278,253,392,371,372,373,390,391,391,391,391
253,278,253,253,392,253,253,392,390,253,392,390,392,390,277,253,392,392,390,391,391,391,391,392,371,372,372,413,372,413,372,372,373,390,391,391,391,391,391,392,395,395,393,371,372,413,413,413
253,253,253,253,392,253,253,392,390,279,392,390,392,390,253,256,392,392,371,413,372,372,372,373,299,393,394,395,394,393,395,393,301,371,413,413,413,372,372,373,395,395,394,321,394,395,393,395
253,253,253,253,392,253,253,392,390,253,392,390,392,390,253,253,392,373,299,394,394,394,394,301,321,395,393,394,395,394,394,395,323,299,394,393,393,393,395,301,393,394,395,299,393,393,393,393
253,253,256,253,392,253,278,392,390,253,392,390,392,390,391,391,392,301,321,393,395,395,395,323,343,394,393,395,395,393,395,395,345,321,393,393,394,395,393,323,395,395,393,321,395,393,393,395
253,253,253,253,392,253,253,392,390,253,392,390,392,373,413,413,372,323,343,393,393,395,395,345,415,416,416,416,415,416,416,416,417,343,395,393,395,394,393,345,415,416,417,343,395,394,394,395
253,277,253,253,392,253,253,392,390,391,392,373,372,301,393,395,393,345,415,416,416,416,416,417,253,253,253,253,253,253,253,253,253,416,416,416,416,416,416,417,253,253,253,343,394,393,395,395
253,253,253,253,392,391,391,392,373,413,413,301,394,323,415,416,416,417,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,415,416,416,416,416
391,391,391,391,392,373,372,413,301,393,394,323,393,345,253,253,253,253,253,253,253,253,253,253,253,253,278,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253
372,413,413,413,373,301,395,394,323,394,395,345,415,417,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,256,253,253,253,253,253,253,278,253,253,253,253,254,253,253,253,253,253,253
393,394,394,394,301,323,394,393,345,415,416,417,253,253,253,253,253,253,253,257,253,253,253,254,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,253,254,253
